,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,Video publish time,duration_converted,duration_converted_t,Avg_duration_sec,Engagement_ratio,view/subs_count
0,3vs-gk9evzw,Hitesh Choudhary,A frontend code game changer 🔥,"Build something awesome using locofy and let me know. I am giving away 2 classic I write code T-shirt to folks who are building stuff. More details in the video. Comment, ""I will build frontend with locofy""


Link to my programming Video Library:
https://hc.lco.dev/devops
Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['frontend', 'reactjs', 'react native', 'figma', 'low code']",2022-09-09T06:35:24Z,7075,608,,96,PT9M38S,hd,False,2022-09-09,2022-09-12 00:09:38,00:09:38,578,0.09950530035335689,0.010952012383900929
1,5Tlu5OkIlPg,Hitesh Choudhary,Apple just changed the game,,,2022-09-08T12:23:29Z,7488,641,,21,PT57S,hd,False,2022-09-08,2022-09-12 00:00:57,00:00:57,57,0.08840811965811966,0.011591331269349844
2,kvm8tsRj6BM,Hitesh Choudhary,How to install typescript,"Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['typescript', 'javascript', 'machine learning', 'ai', 'devops', 'cloud', 'hosting']",2022-09-08T11:55:33Z,2052,161,,17,PT12M14S,hd,False,2022-09-08,2022-09-12 00:12:14,00:12:14,734,0.08674463937621832,0.003176470588235294
3,JjWRNtBorMw,Hitesh Choudhary,Typescript is not what you think,"Link to my programming Video Library:
https://hc.lco.dev/devops

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['javascript', 'typescript', 'reactjs', 'machine learning', 'ai']",2022-09-08T09:54:00Z,3818,266,,27,PT8M23S,hd,False,2022-09-08,2022-09-12 00:08:23,00:08:23,503,0.07674174960712415,0.005910216718266254
4,j89BvWz8Eag,Hitesh Choudhary,Why to learn Typescript,"Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['javascript', 'typescript', 'angular', 'machine learning', 'ai', 'jobs']",2022-09-07T16:46:54Z,7331,644,,74,PT6M52S,hd,False,2022-09-07,2022-09-12 00:06:52,00:06:52,412,0.09794025371709181,0.01134829721362229
5,mxSK9ZcASMU,Hitesh Choudhary,Update to Javascript marathon,"Link to my programming Video Library:
https://hc.lco.dev/devops

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['Programming', 'python', 'machine learning', 'typescript', 'jobs', 'ai']",2022-09-07T15:32:46Z,4328,438,,65,PT2M2S,hd,False,2022-09-07,2022-09-12 00:02:02,00:02:02,122,0.11621996303142329,0.0066996904024767805
6,2fXQvy0kFak,Hitesh Choudhary,DevOps Pro Course launch | Live classes,"For more info about course:
https://hc.lco.dev/devops
Use HITESH10 for additional 10% discount and more perks

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['devops', 'aws', 'cloud', 'azure', 'gcp', 'docker', 'kubernetes', 'ansible', 'terraform']",2022-09-01T05:09:58Z,16856,772,,161,PT6M34S,hd,False,2022-09-01,2022-09-12 00:06:34,00:06:34,394,0.05535121025154248,0.026092879256965944
7,rp56yKfIkmo,Hitesh Choudhary,Complete iOS developer course,"Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['iOS', 'swiftui', 'iOS development', 'iOS tutorials']",2022-08-31T04:53:14Z,9294,487,,142,PT7M16S,hd,False,2022-08-31,2022-09-12 00:07:16,00:07:16,436,0.06767807187432752,0.014386996904024767
8,rd3lN6yQZIQ,Hitesh Choudhary,Let’s catch up at #LPU Punjab. Hackathon with 3.5 lakh of prizes,,,2022-08-28T10:34:24Z,3331,181,,38,PT1M14S,hd,False,2022-08-28,2022-09-12 00:01:14,00:01:14,74,0.06574602221555088,0.005156346749226006
9,nAeFbJ_EXOo,Hitesh Choudhary,Live support and free seats,"Check 1st pinned comment to get the coupon link.


Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['coding', 'programming', 'web developer', 'machine learning', 'ai', 'aws', 'cloud', 'devops', 'javascript']",2022-08-27T12:38:25Z,9842,649,,157,PT6M17S,hd,False,2022-08-27,2022-09-12 00:06:17,00:06:17,377,0.08189392399918716,0.015235294117647059
