video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
DjxFTs4ZuU8,MySirG.com,Meet My Teacher | Teacher's Day Special | @UCd-HN6ZBWIFJdG6KSLATd6g,"Course Link: https://bit.ly/3Ko1Jek

Use Coupon code SAURABH30 and get 30% discount on all the courses. This is limited time offer

Feedback of students - see comment on: https://youtu.be/zVB2ZR6RpzM

Other courses:
Job Ready Bootcamp: https://bit.ly/3aEQJvp
Full Stack Web development using Python: https://bit.ly/3IwsvAj
Website: http://saurabhshuklaclasses.com/batches
https://ineuron.ai


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-09-05T16:20:20Z,9883,549,,40,PT1H10M15S,hd,false
uJesWe403HM,MySirG.com,Teacher's Day Special Announcement | Offers | Neuro Labs | New Batch,"Course Link: https://bit.ly/3Ko1Jek

Use Coupon code SAURABH30 and get 30% discount on all the courses. This is limited time offer

Feedback of students - see comment on: https://youtu.be/zVB2ZR6RpzM

Other courses:
Job Ready Bootcamp: https://bit.ly/3aEQJvp
Full Stack Web development using Python: https://bit.ly/3IwsvAj
Website: http://saurabhshuklaclasses.com/batches
https://ineuron.ai


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-09-05T14:48:33Z,7439,454,,38,PT54M20S,hd,false
PPRlWvX3f9Y,MySirG.com,Best Programming Course in Hindi,"Course Link: https://bit.ly/3Ko1Jek

Use Coupon code SAURABH30 and get 30% discount on all the courses. This is limited time offer

Feedback of students - see comment on: https://youtu.be/zVB2ZR6RpzM

Other courses:
Job Ready Bootcamp: https://bit.ly/3aEQJvp
Full Stack Web development using Python: https://bit.ly/3IwsvAj
Website: http://saurabhshuklaclasses.com/batches
https://ineuron.ai


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-09-04T14:27:07Z,13882,1125,,230,PT8M3S,hd,false
mLvdnHKY220,MySirG.com,Tum kaun ho?,,,2022-08-27T01:42:59Z,8504,598,,42,PT13S,hd,false
5mbQuIr6f8o,MySirG.com,Number Shifting Game Project in C,"Full course of C++ language : https://bit.ly/3aEQJvp

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
4) Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE",,2022-08-21T06:25:33Z,11734,575,,36,PT59M40S,hd,false
PTlNfIaSGus,MySirG.com,Introduction to C++ and OOP (Bootcamp Batch LIVE),"Full course of C++ language : https://bit.ly/3aEQJvp

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
4) Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE",,2022-08-20T06:45:46Z,17648,902,,68,PT1H54M43S,hd,false
AwmhL1N8QEE,MySirG.com,MySirG Gift on Independence Day | Jai Hind,"Coupon Code: SAURABH20
Offer valid: 15 Aug 2022 to 21 Aug 2022
Tech Neuron: https://bit.ly/3phXA1Z

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
4) Python LIVE Community Classes Playlist:  https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl 

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-15T16:49:11Z,13079,805,,181,PT34M21S,hd,false
KFZ3Eftp8lo,MySirG.com,Loops in Python | LIVE Community Classes | MySirG,"Python for Beginners by Saurabh Shukla Sir
LIVE classes: 8th Aug 2022 to 12 Aug 2022 | 9 PM YouTube
Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-12T17:14:37Z,10724,471,,22,PT1H37M41S,hd,false
qgNnf1GMLxc,MySirG.com,Yeh channel dekha kya?,,"['programming', 'MySirG', 'Saurabhshukla', 'Python', 'C language', 'Teacher', 'FAANG', 'Highes package', 'programming', 'MySirG', 'Saurabhshukla', 'Python', 'C language', 'Teacher', 'FAANG', 'Highes package']",2022-08-12T13:11:05Z,5960,482,,45,PT20S,hd,false
-Po6d6Zm3cE,MySirG.com,Decision Control in Python | LIVE Community Classes | MySirG,"Python for Beginners by Saurabh Shukla Sir
LIVE classes: 8th Aug 2022 to 12 Aug 2022 | 9 PM YouTube

Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl

Join Python Quiz LIVE at 10:15 PM: https://youtu.be/g2NwMIayaUU

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-11T16:48:29Z,7803,371,,12,PT1H12M1S,hd,false
