video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
gkRy67OCCpQ,Telusko,Free Coding Platform | Neuro Lab,"Full Stack Java Developer Job Guarantee Live Course : https://bit.ly/NAVIN30
Coupon Code : NAVIN30 for discount. 

Java Full Stack Live Course :  https://bit.ly/javatelusko
Coupon Code : TELUSKO10 for additional discount. 

Full Stack Blockchain Development : https://bit.ly/TeluskoBlock
Coupon Code : TELUSKOBLOCK10 for additional discount. 

 Full Stack Web Development Using Python : https://bit.ly/TELUSKOPYTHON
Coupon Code : TELUSKOPY10 for additional discount. 

NeuroLab link : https://learn.ineuron.ai/neuro-lab

Instagram : https://www.instagram.com/navinreddyofficial
Linkedin : https://in.linkedin.com/in/navinreddy20

More Learning :

Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Boot  :- https://bit.ly/3aucCgB
Spring Framework :- https://bit.ly/3GRfxwe
Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG","['telusko', 'navin', 'reddy', 'tutorial', 'java', 'python', 'blockchain', 'django']",2022-09-07T13:33:26Z,8871,314,,59,PT6M53S,hd,false
H1PQj54u0As,Telusko,1000 Programmers for Hackathon | LPU,"Full Stack Java Developer Live Course :  https://bit.ly/TELUSKOJAVA
Coupon Code : NAVIN10 for additional discount. 

Full Stack Blockchain Development : https://bit.ly/TeluskoBlock
Coupon Code : TELUSKOBLOCK10 for additional discount. 

Instagram : https://www.instagram.com/navinreddyofficial
Linkedin : https://in.linkedin.com/in/navinreddy20
Discord : https://discord.gg/aXPF5hV7

More Learning :

Neo Blockchain  :- https://bit.ly/3AGnpQe
Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Boot  :- https://bit.ly/3aucCgB
Spring Framework :- https://bit.ly/3GRfxwe

Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG","['telusko', 'navin', 'reddy', 'tutorial', 'java', 'python', 'blockchain', 'django']",2022-09-03T16:46:29Z,29960,536,,21,PT13M10S,hd,false
b7OryQDDCsU,Telusko,Full Stack Java Developer Live Course | Job Guarantee | Announcement,"Full Stack Java Developer Job Guarantee Live Course : https://bit.ly/NAVIN30
Coupon Code : NAVIN30 for discount. 

Full Stack Blockchain Development : https://bit.ly/TeluskoBlock
Coupon Code : TELUSKOBLOCK10 for additional discount. 

Instagram : https://www.instagram.com/navinreddyofficial
Linkedin : https://in.linkedin.com/in/navinreddy20
Discord : https://discord.gg/aXPF5hV7

More Learning :

Neo Blockchain  :- https://bit.ly/3AGnpQe
Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Boot  :- https://bit.ly/3aucCgB
Spring Framework :- https://bit.ly/3GRfxwe

Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG","['telusko', 'navin', 'reddy', 'tutorial', 'java', 'python', 'blockchain', 'django']",2022-09-01T13:03:03Z,52634,1741,,201,PT8M26S,hd,false
3NfjY7ddHz8,Telusko,Tech-A-Thon at Lovely Professional University(LPU),"Full Stack Blockchain Development : https://bit.ly/TeluskoBlock
Coupon Code : TELUSKOBLOCK10 for additional discount. 

Java Full Stack Live Course :  https://bit.ly/javatelusko
Coupon Code : TELUSKO10 for additional discount. 

Python Web Development Paid course : https://bit.ly/TELUSKOPYTHON

Tech-A-Thon Registration link :-  https://bit.ly/3dXLkRP

Instagram : https://www.instagram.com/navinreddyofficial
Linkedin : https://in.linkedin.com/in/navinreddy20
Discord : https://discord.gg/aXPF5hV7

More Learning :

Neo Blockchain  :- https://bit.ly/3AGnpQe
Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Boot  :- https://bit.ly/3aucCgB
Spring Framework :- https://bit.ly/3GRfxwe

Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG","['telusko', 'navin', 'reddy', 'tutorial', 'java', 'python', 'blockchain', 'django']",2022-08-25T08:31:34Z,6940,163,,23,PT2M56S,hd,false
4auwnxsEDeI,Telusko,Had an Amazing Week | Saturday Live,"Full Stack Blockchain Development : https://bit.ly/TeluskoBlock
Coupon Code : TELUSKOBLOCK10 for additional discount. 

Java Full Stack Live Course :  https://bit.ly/javatelusko
Coupon Code : TELUSKO10 for additional discount. 

Tech-Neuron lifetime access

Link for Tech-Neuron : https://bit.ly/TN_NAVIN
Coupon code : NAVIN20

Celebrate Azadi Ka Amrit Mahotsav
With 250+ Course lifetime Access
With 20% Discount
Ab code karega INDIA
• Get an access of 200 + Courses for lifetime for limited period (Starting from 15th august to 21st  August) with 20% Discount 
• Job portal access 
• Resume Building with experts every month unlimited times  
• Mock interview with techies every month unlimited times. 
• Live doubt clearing all day for 6 hours

Instagram : https://www.instagram.com/navinreddyofficial
Linkedin : https://in.linkedin.com/in/navinreddy20
Discord : https://discord.gg/aXPF5hV7

More Learning :

Neo Blockchain  :- https://bit.ly/3AGnpQe
Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Boot  :- https://bit.ly/3aucCgB
Spring Framework :- https://bit.ly/3GRfxwe

Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG",,2022-08-20T13:40:30Z,7886,243,,19,PT34M34S,hd,false
ujyvH3DjisE,Telusko,76th Independence Day Celebration Offer,"Tech-Neuron lifetime access

Link for Tech-Neuron : https://bit.ly/TN_NAVIN

Happy Independence Day
Celebrate Azadi Ka Amrit Mahotsav
With 250+ Course lifetime Access
With 20% Discount
Ab code karega INDIA
• Get an access of 200 + Courses for lifetime for limited period (Starting from 15th august to 21st  August) with 20% Discount 
• Job portal access 
• Resume Building with experts every month unlimited times  
• Mock interview with techies every month unlimited times. 
• Live doubt clearing all day for 6 hours",,2022-08-15T13:35:16Z,9104,285,,36,PT15M26S,hd,false
UnffRY0btLQ,Telusko,Blockchain Quiz | Basics,"Full Stack Blockchain Development : https://bit.ly/TeluskoBlock
Coupon Code : TELUSKOBLOCK10 for additional discount. 

Java Full Stack Live Course :  https://bit.ly/javatelusko
Coupon Code : TELUSKO10 for additional discount. 

Blockchain Basics   :-  https://bit.ly/3x33f0z

Instagram : https://www.instagram.com/navinreddyofficial
Linkedin : https://in.linkedin.com/in/navinreddy20
Discord : https://discord.gg/aXPF5hV7

More Learning :

Neo Blockchain  :- https://bit.ly/3AGnpQe
Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Boot  :- https://bit.ly/3aucCgB
Spring Framework :- https://bit.ly/3GRfxwe

Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG",,2022-08-11T16:32:22Z,5155,149,,11,PT26M37S,hd,false
IC5vBKc21X8,Telusko,JavaScript Programming Tutorial for Beginners,"Java Full Stack Live Course :  https://bit.ly/javatelusko
Coupon Code : TELUSKO10 for additional discount. 

Full Stack Blockchain Development : https://bit.ly/TeluskoBlock
Coupon Code : TELUSKOBLOCK10 for additional discount. 

Full Stack Web Development Using Python : https://bit.ly/TELUSKOPYTHON
Coupon Code : TELUSKOPY10 for additional discount. 

00:00:00 - intro
00:06:01 - Getting started
00:15:51 - NodeJS, VS Code Installation
00:22:00 - Variables in JavaScript
00:38:13 - Constants in JavaScript
00:42:31 - Data types
01:03:02 - History of JavaScript
01:22:01 - Type Conversion & Coercion in JavaScript
01:34:25 - Arithmetic Operators in JavaScript
01:45:25 - Relational operators in JavaScript
01:55:11 - Logical Operators in JavaScript
02:02:12 - Conditional Statements If Else in JavaScript
02:14:04 - Ternary Operator in JavaScript
02:18:56 - Switch Statement in JavaScript
02:26:26 - Template Literal in JavaScript
02:31:03 - While loop in JavaScript
02:41:49 - For Loop in JavaScript
02:48:00 - While vs For Loop | Which to use and When?
02:54:31 - Objects in JavaScript
03:04:20 - Complex Object, Delete Property in JavaScript
03:13:26 - For in loop in JavaScript
03:17:18 - Functions in JavaScript
03:22:01 - Function return and passing
03:26:42 - Function Expression in JavaScript
03:30:38 - Local-Global Variable | Default Value in JavaScript
03:36:41 - Arrow function in JavaScript
03:42:12 - What are Methods in JavaScript?
03:46:16 - What is this? | JavaScript
03:52:17 - Why it is called THIS?
04:03:12 - Constructor function in JavaScript
04:10:17 - Creating Array and Fetching Elements in JavaScript
04:17:04 - Different types of data in Array
04:21:13 - Array methods in JavaScripts
04:27:20 - For of Loop with an Array in JavaScript
04:31:58 - Array Destructuring in JavaScript
04:41:02 - Array forEach Method in JavaScript
04:47:06 - Array Method filter map reduce
04:56:16 - Set in JavaScript
05:02:51 - Map in Javascript
05:10:02 - What is Recursion? | JavaScript
05:17:14 - Factorial using Recursion | JavaScript

Instagram : https://www.instagram.com/navinreddyofficial/
Linkedin : https://in.linkedin.com/in/navinreddy20
Discord : https://discord.gg/aXPF5hV7

More Learning :

Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Boot  :- https://bit.ly/3aucCgB
Spring Framework :- https://bit.ly/3GRfxwe

Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG","['telusko', 'navin', 'reddy', 'tutorial', 'java', 'python', 'blockchain', 'django']",2022-08-09T10:36:21Z,47658,1684,,120,PT5H26M5S,hd,false
vTWpddJiUXI,Telusko,Does Your Code Smell ?,"Java Full Stack Live Course :  https://bit.ly/javatelusko
Coupon Code : TELUSKO10 for additional discount. 

Full Stack Blockchain Development : https://bit.ly/TeluskoBlock
Coupon Code : TELUSKOBLOCK10 for additional discount. 

Full Stack Web Development Using Python : https://bit.ly/TELUSKOPYTHON
Coupon Code : TELUSKOPY10 for additional discount. 


Direct call to our Team incase of any queries 

9880055539
8788503778
6260726925
9538303385
8660034247

Instagram : https://www.instagram.com/navinreddyofficial/
Linkedin : https://in.linkedin.com/in/navinreddy20
Discord : https://discord.gg/aXPF5hV7

More Learning :

Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Boot  :- https://bit.ly/3aucCgB
Spring Framework :- https://bit.ly/3GRfxwe

Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG","['telusko', 'navin', 'reddy', 'tutorial', 'java', 'python', 'blockchain', 'django']",2022-07-29T14:01:12Z,21591,735,,28,PT10M12S,hd,true
Z7UXVx30If0,Telusko,Quiz at Blockchain Hackathon | Menti,"Full Stack Blockchain Development : https://bit.ly/TeluskoBlock
Coupon Code : TELUSKOBLOCK10 for additional discount. 

Java Full Stack Live Course :  https://bit.ly/javatelusko
Coupon Code : TELUSKO10 for additional discount. 

Blockchain Basics   :-  https://bit.ly/3x33f0z

Instagram : https://www.instagram.com/navinreddyofficial
Linkedin : https://in.linkedin.com/in/navinreddy20
Discord : https://discord.gg/aXPF5hV7

More Learning :

Neo Blockchain  :- https://bit.ly/3AGnpQe
Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Boot  :- https://bit.ly/3aucCgB
Spring Framework :- https://bit.ly/3GRfxwe

Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG","['telusko', 'navin', 'reddy', 'tutorial', 'java', 'python', 'blockchain', 'django']",2022-07-27T06:18:25Z,10958,183,,13,PT11M26S,hd,false
